No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
12,"Mantap, Materinya lengkap,ulasannya sangat bagus dan mendetail 👍",4,0,0,0,0,1,0,0,1,1,"Mantap, Materinya lengkap,ulasannya sangat bagus dan mendetail",['👍'],1
13,nice explain and make better professional certificate 😊,4,0,1,0,0,1,0,0,0,1,nice explain and make better professional certificate,['😊'],1
14,Kurang Lengkap 😔,2,0,0,1,0,0,1,0,0,0,Kurang Lengkap,['😔'],1
15,mentor tidak pernah menjawab pertanyaan saya 😤,3,1,0,0,0,0,1,0,0,0,mentor tidak pernah menjawab pertanyaan saya,['😤'],1
16,"Sebaiknya video pertama mengenai subnetting ini di buat ulang, kesalahan di penjumlahan mengenai 2^7 yang semula disebut 32 sangat menggangu proses pemahaman yg ternyata 2^7 =128 😓",2,1,1,1,0,0,0,0,0,0,"Sebaiknya video pertama mengenai subnetting ini di buat ulang, kesalahan di penjumlahan mengenai 2^7 yang semula disebut 32 sangat menggangu proses pemahaman yg ternyata 2^7 =128",['😓'],1
17,"Sangat cocok, kebetulan saya bekerja di bidang ini 👋",4,0,1,0,0,1,0,0,1,1,"Sangat cocok, kebetulan saya bekerja di bidang ini",['👋'],1
18,tidak di jelaskan dari mana dapat /trafik dan fungsinya 😒,2,0,0,1,0,0,1,0,0,0,tidak di jelaskan dari mana dapat /trafik dan fungsinya,['😒'],1
19,basic materi 😔,2,1,0,1,0,0,1,0,0,0,basic materi,['😔'],1
20,improve lbh intuitif,1,0,1,0,0,0,0,0,0,1,improve lbh intuitif,[],0
21,cara menjelaskannya sangat mudah untuk di fahami,4,0,0,0,0,1,0,0,1,1,cara menjelaskannya sangat mudah untuk di fahami,[],0
22,sangat membantu,4,0,0,0,0,1,0,0,1,1,sangat membantu,[],0
23,kurang greget,1,0,0,1,0,0,1,0,0,0,kurang greget,[],0
24,"bagus, lengkap, rinci sekali, kebetulan dikantor pakai microtic",4,0,0,0,0,1,0,0,1,1,"bagus, lengkap, rinci sekali, kebetulan dikantor pakai microtic",[],0
25,Good,4,0,0,0,0,1,0,0,0,1,Good,[],0
26,Mendetail,4,0,0,0,0,0,0,0,1,1,Mendetail,[],0
27,Mantap,4,0,0,0,0,1,0,0,0,1,Mantap,[],0
28,Sangat jelas,4,0,0,0,0,1,0,0,1,1,Sangat jelas,[],0
29,"bagus, mudah dimengerti",4,0,0,0,0,1,0,0,1,1,"bagus, mudah dimengerti",[],0
30,mudah dimengerti,4,0,0,0,0,1,0,0,0,1,mudah dimengerti,[],0
31,Penjelasan yang sangat kompleks namun untuk respons jawaban dalam pertanyaan seputar course ini tidak direspon dengan baik dan materinya tidak diupdate,3,1,0,1,0,0,1,0,0,0,Penjelasan yang sangat kompleks namun untuk respons jawaban dalam pertanyaan seputar course ini tidak direspon dengan baik dan materinya tidak diupdate,[],0
32,Namun pada kursus ini sudah menjelaskan banyak sekali pembahasan yang sesuai 😘,4,0,0,0,0,1,0,0,1,2,Namun pada kursus ini sudah menjelaskan banyak sekali pembahasan yang sesuai,['😘'],1
33,"Alhamdulillah, pelajaran mudah diterima dan dipahami, dan bermanfaat bagi yang ingin mempelajarinya secara sungguh-sungguh",4,0,0,0,0,1,0,0,1,1,"Alhamdulillah, pelajaran mudah diterima dan dipahami, dan bermanfaat bagi yang ingin mempelajarinya secara sungguh-sungguh",[],0
34,sukses terus untuk pengajarnya 💪,4,0,0,0,0,1,0,0,1,1,sukses terus untuk pengajarnya,['💪'],1
35,Penyampaiannya dan materinya membuat saya mengerti banget 👍,4,0,0,0,0,1,0,0,0,1,Penyampaiannya dan materinya membuat saya mengerti banget,['👍'],1
36,dan pratikumnya juga sangat membantu 😊,4,0,0,0,0,1,0,0,0,1,dan pratikumnya juga sangat membantu,['😊'],1
37,"Sayangnya pengajarnya kurang online di udemy, jadi saya susah sekali utk tanya jawab dengan cepat , kedepannya semoga tanja jawabnya di jawab secepat mungkin , agar yang punya masalah dan tidak mengerti bisa di atasi secara cepat",3,1,1,0,0,0,1,0,0,0,"Sayangnya pengajarnya kurang online di udemy, jadi saya susah sekali utk tanya jawab dengan cepat , kedepannya semoga tanja jawabnya di jawab secepat mungkin , agar yang punya masalah dan tidak mengerti bisa di atasi secara cepat",[],0
38,Terima kasih mas ilmunya ☺,4,0,0,0,0,1,0,0,1,1,Terima kasih mas ilmunya,['☺'],1
39,"materi yang bagus untuk memahami mikrotik untuk level selanjutnya , penjelasan yang detail dan mudah di fahami",4,0,0,0,0,1,0,0,1,1,"materi yang bagus untuk memahami mikrotik untuk level selanjutnya , penjelasan yang detail dan mudah di fahami",[],0
40,"Kursus ini sangat cocok untuk pemula, Yang mungkin ingin mencoba RT RW net maupun dikembangkan menjadi ISP",4,0,1,0,0,1,0,0,1,1,"Kursus ini sangat cocok untuk pemula, Yang mungkin ingin mencoba RT RW net maupun dikembangkan menjadi ISP",[],0
41,Untuk level pembelajaran bisa dibilang beginner dan beberapa materi ada yang intermediate level,4,0,0,0,0,0,0,0,1,2,Untuk level pembelajaran bisa dibilang beginner dan beberapa materi ada yang intermediate level,[],0
42,bahasa instruktur juga sangat mudah dipahami baik itu bagi orang yang sudah familiar dengan jaringan maupun bagi orang awam,4,0,0,0,0,1,0,0,1,1,bahasa instruktur juga sangat mudah dipahami baik itu bagi orang yang sudah familiar dengan jaringan maupun bagi orang awam,[],0
43,"Terima kasih atas coursenya, ada ilmu yang saya pelajari dari sini",4,0,0,0,0,1,0,0,1,1,"Terima kasih atas coursenya, ada ilmu yang saya pelajari dari sini",[],0
44,"kekurangannya pada respon instruktur, namun kendala yang saya hadapi bisa dicari dibrowsing 😋",3,0,1,0,0,0,1,0,0,1,"kekurangannya pada respon instruktur, namun kendala yang saya hadapi bisa dicari dibrowsing",['😋'],1
45,Ada 1 video yang uploadnya kepotong 😒,0,0,0,1,0,0,0,0,0,0,Ada 1 video yang uploadnya kepotong,['😒'],1
46,Agar videonya dicheck kembali 👀,0,0,1,0,0,0,0,0,0,1,Agar videonya dicheck kembali,['👀'],1
47,"Sangat membantu saya dalam memahami dan menggunakan mikrotik, buat teman-teman sekalian yang mungkin mempunyai keinginan yang sama kursus ini sangat saya rekomendasikan",4,0,0,0,0,1,0,0,1,1,"Sangat membantu saya dalam memahami dan menggunakan mikrotik, buat teman-teman sekalian yang mungkin mempunyai keinginan yang sama kursus ini sangat saya rekomendasikan",[],0
48,Meskipun memang terdapat materi yang harus dipelajari sendiri tapi kursus ini sangat banyak membantu dalam praktiknya,4,0,0,0,0,0,0,0,1,1,Meskipun memang terdapat materi yang harus dipelajari sendiri tapi kursus ini sangat banyak membantu dalam praktiknya,[],0
49,"Bagi saya, materinya sangat jelas dan mudah difahami",4,0,0,0,0,1,0,0,0,1,"Bagi saya, materinya sangat jelas dan mudah difahami",[],0
50,"Dengan banyaknya durasi course-nya memang yang dibutuhkan di sini adalah ketelatenan dan kesabaran dalam menyimak dan mempraktikkan course dari tutor, tak hanya sekedar selesai nonton dan dapat sertifikat",4,0,1,0,0,0,0,0,1,1,"Dengan banyaknya durasi course-nya memang yang dibutuhkan di sini adalah ketelatenan dan kesabaran dalam menyimak dan mempraktikkan course dari tutor, tak hanya sekedar selesai nonton dan dapat sertifikat",[],0
51,"chat terkait pertanyaan ny tolong dibalas min, terima kasih",3,1,0,0,0,0,1,0,0,2,"chat terkait pertanyaan ny tolong dibalas min, terima kasih",[],0
52,Kursus ini memberikan banyak contoh kasus nyata yang kebanyakan kita temui dan membantu saya untuk membangun jaringan,4,0,0,0,0,1,0,0,1,1,Kursus ini memberikan banyak contoh kasus nyata yang kebanyakan kita temui dan membantu saya untuk membangun jaringan,[],0
53,Banyak tutorial tersebar di Internet dan saya merasa kursus ini juga tidak kalah karena pemberian pembelajaran dan solusi yang sangat jelas untuk menyelesaikan masalah yang lumrah,4,0,0,0,0,0,0,0,1,1,Banyak tutorial tersebar di Internet dan saya merasa kursus ini juga tidak kalah karena pemberian pembelajaran dan solusi yang sangat jelas untuk menyelesaikan masalah yang lumrah,[],0
54,Bagian yang tersulit bagi saya selama ini adalah konsep mempelajari Menu Firewall akhirnya saya bisa mengerti dan paham berdasarkan penjelasan yang diberikan,2,0,1,0,0,1,0,0,0,2,Bagian yang tersulit bagi saya selama ini adalah konsep mempelajari Menu Firewall akhirnya saya bisa mengerti dan paham berdasarkan penjelasan yang diberikan,[],0
55,Plus ada hal baru yang saya pahami lagi disini ternyata koneksi beda network bisa juga dilakukan dengan menu dari firewall chain forward,2,0,0,0,0,1,0,1,0,2,Plus ada hal baru yang saya pahami lagi disini ternyata koneksi beda network bisa juga dilakukan dengan menu dari firewall chain forward,[],0
56,"tutorial ini terbaik dan sangat membantu saya,",4,0,0,0,0,1,0,0,0,1,"tutorial ini terbaik dan sangat membantu saya,",[],0
57,"Terima kasih atas videonya penjelasanya sangat jelas, dan mudah dipahami",4,0,0,0,0,1,0,0,0,1,"Terima kasih atas videonya penjelasanya sangat jelas, dan mudah dipahami",[],0
58,"Sedikit masukan, untuk pelajaranya bbrp ada yang masih di ulang2 dan di jadikan video, jadi saran saya untuk dikurangin pengulangan nya",2,0,1,0,0,0,0,0,0,2,"Sedikit masukan, untuk pelajaranya bbrp ada yang masih di ulang2 dan di jadikan video, jadi saran saya untuk dikurangin pengulangan nya",[],0
59,terima kasih,4,0,0,0,0,1,0,0,0,2,terima kasih,[],0
60,"Pembelajaran ini dapat diikuti dengan baik, disampaikan secara terstruktur dan runut , sangat membantu untuk menambah pemahaman mengenai network menggunakan mikrotik",4,0,0,0,0,1,0,0,1,1,"Pembelajaran ini dapat diikuti dengan baik, disampaikan secara terstruktur dan runut , sangat membantu untuk menambah pemahaman mengenai network menggunakan mikrotik",[],0
61,alhamdulillah cocok dan banyak ilmu baru mengenai mikrotik yang baru saya dapatkan pada kursus ini 👏,4,0,0,0,0,1,0,0,1,1,alhamdulillah cocok dan banyak ilmu baru mengenai mikrotik yang baru saya dapatkan pada kursus ini,['👏'],1
62,mudah di pahami dan sangat sanggat membantu untuk yang awam atau yang masih belajar mikrotik untuk pemula 👏,4,0,0,0,0,1,0,0,0,1,mudah di pahami dan sangat sanggat membantu untuk yang awam atau yang masih belajar mikrotik untuk pemula,['👏'],1
63,"Untuk yang belajar dari 0 saya rasa cukup sulit memahami setiap pengenalan kata seperti router,gateway,bridge,firewall,nat,route,interface,dhcp",2,0,0,0,0,0,1,0,0,0,"Untuk yang belajar dari 0 saya rasa cukup sulit memahami setiap pengenalan kata seperti router,gateway,bridge,firewall,nat,route,interface,dhcp",[],0
64,"Saran agar dibuat analaogi ketika menjelaskan agar lebih mudah dipahami jika kita tidak ada dasar di dalam networking,terima kasih 🙏",1,0,1,0,0,0,0,0,0,1,"Saran agar dibuat analaogi ketika menjelaskan agar lebih mudah dipahami jika kita tidak ada dasar di dalam networking,terima kasih",['🙏'],1
65,"Materi bagus, penyampaian baik",4,0,0,0,0,1,0,0,0,1,"Materi bagus, penyampaian baik",[],0
66,Mungkin kalau menggunakan perangkat asli jadi lebih bagus dibandingkan GNS3,0,0,1,0,0,0,0,0,0,2,Mungkin kalau menggunakan perangkat asli jadi lebih bagus dibandingkan GNS3,[],0
67,Mohon di bantu jika kami mengalami kendala,3,0,1,0,0,0,0,0,1,2,Mohon di bantu jika kami mengalami kendala,[],0
68,Masih kurang lengkap dan belum update,2,0,0,1,0,0,1,0,0,0,Masih kurang lengkap dan belum update,[],0
69,Mohon diupdate kembali materinya,2,0,1,0,0,0,0,0,0,2,Mohon diupdate kembali materinya,[],0
70,Kalau pemateri lebih santai dan pelan dalam step2 nya bakal lebih sempurna,1,0,1,0,0,0,0,0,1,1,Kalau pemateri lebih santai dan pelan dalam step2 nya bakal lebih sempurna,[],0
71,"Tutorial Yang Singkat Tapi Berbobot, Cara Penyampain Pengajar Sangat Mudah Dipahami, Sangat bermanfaat dan membantu di lingkungan kerja dan Terutama Untuk Masyarakat",4,0,0,0,0,1,0,0,1,1,"Tutorial Yang Singkat Tapi Berbobot, Cara Penyampain Pengajar Sangat Mudah Dipahami, Sangat bermanfaat dan membantu di lingkungan kerja dan Terutama Untuk Masyarakat",[],0
72,Sangat membantu tidak hanya dalam mempelajari Mikrotik tapi juga dunia Jaringan Komputer,4,0,0,0,0,1,0,0,1,1,Sangat membantu tidak hanya dalam mempelajari Mikrotik tapi juga dunia Jaringan Komputer,[],0
73,Terima kasih untuk pembelajarannya,4,0,0,0,0,1,0,0,1,2,Terima kasih untuk pembelajarannya,[],0
74,Recomended! Penyampaian materi juga bagus,4,0,0,0,0,1,0,0,1,1,Recomended! Penyampaian materi juga bagus,[],0
75,Mudah dimengerti untuk penjelasannya,4,0,0,0,0,1,0,0,1,1,Mudah dimengerti untuk penjelasannya,[],0
76,"simple bagus materinya, terimakasih",4,0,0,0,0,1,0,0,1,1,"simple bagus materinya, terimakasih",[],0
77,sejauh ini saya cukup senang dengan materi yang disampaikan,4,0,0,0,0,1,0,0,0,1,sejauh ini saya cukup senang dengan materi yang disampaikan,[],0
78,sangat membantu untuk pemula,4,0,0,0,0,1,0,0,1,1,sangat membantu untuk pemula,[],0
79,Penjelasan yang sangat lengkap dalam semua videonya,4,0,0,0,0,1,0,0,1,1,Penjelasan yang sangat lengkap dalam semua videonya,[],0
80,ye this tutorial is match for me,4,0,0,0,0,1,0,0,0,1,ye this tutorial is match for me,[],0
81,Materi Kursus Cukup Lengkap Dengan Biaya Terjangkau,4,0,0,0,0,1,0,0,1,1,Materi Kursus Cukup Lengkap Dengan Biaya Terjangkau,[],0
82,Terima kasih,4,0,0,0,0,1,0,0,1,2,Terima kasih,[],0
83,The lesson was satisfying,4,0,0,0,0,1,0,0,0,1,The lesson was satisfying,[],0
84,Good Teaching technique,4,0,0,0,0,1,0,0,1,1,Good Teaching technique,[],0
85,jadi lebih memahami kasus subneting 😎,4,0,0,0,0,1,0,0,1,2,jadi lebih memahami kasus subneting,['😎'],1
86,"Jadi tau cara menemuka total IP, IP network, IP broadcast dan IP range 😎",4,0,0,0,0,1,0,0,1,2,"Jadi tau cara menemuka total IP, IP network, IP broadcast dan IP range",['😎'],1
87,"Tau perbedaan hub, Switch, dan router, tau cara praktek mikrotik dengan pake virtual",4,0,0,0,0,1,0,0,1,2,"Tau perbedaan hub, Switch, dan router, tau cara praktek mikrotik dengan pake virtual",[],0
88,Mantapp mudah dimengerti,4,0,0,0,0,1,0,0,0,1,Mantapp mudah dimengerti,[],0
89,penjelasaanya sangat mudah dipahami,4,0,0,0,0,1,0,0,1,1,penjelasaanya sangat mudah dipahami,[],0
90,dapat dipahami dengan bahasa yg sederhana,4,0,0,0,0,1,0,0,1,1,dapat dipahami dengan bahasa yg sederhana,[],0
91,sangat cocok dengan waktu saya saya bisa mengulang kapan saja,4,0,0,0,0,1,0,0,1,1,sangat cocok dengan waktu saya saya bisa mengulang kapan saja,[],0
92,trainer make every lesson easy to be understood,4,0,0,0,0,1,0,0,1,1,trainer make every lesson easy to be understood,[],0
93,Penjelasannya simpel dan disertai contoh yg jelas,4,0,0,0,0,1,0,0,1,1,Penjelasannya simpel dan disertai contoh yg jelas,[],0
94,mantap,4,0,0,0,0,1,0,0,0,1,mantap,[],0
95,Good trainer,4,0,0,0,0,1,0,0,1,1,Good trainer,[],0
96,Padat dan jelas,4,0,0,0,0,1,0,0,1,1,Padat dan jelas,[],0
97,"Menambah ilmu baru dari, pembelajaran sangat mudah untuk di pahami dan lebih mudah mengimplementasikan settingan pada mikrotik di lapangan",4,0,0,0,0,1,0,0,1,1,"Menambah ilmu baru dari, pembelajaran sangat mudah untuk di pahami dan lebih mudah mengimplementasikan settingan pada mikrotik di lapangan",[],0
98,saya harap ilmu ini dapat bermanfaat di baik untuk sendiri maupun orang lain,4,0,1,0,0,1,0,0,1,1,saya harap ilmu ini dapat bermanfaat di baik untuk sendiri maupun orang lain,[],0
99,Penjelasan mengenai subnating sangat jelas,4,0,0,0,0,1,0,0,1,1,Penjelasan mengenai subnating sangat jelas,[],0
100,Sejauh ini cukup jelas untuk penjelasan IP dan subnetting,4,0,0,0,0,1,0,0,1,2,Sejauh ini cukup jelas untuk penjelasan IP dan subnetting,[],0
101,"Materinya bagus, penjelasannya juga jelas",4,0,0,0,0,1,0,0,1,1,"Materinya bagus, penjelasannya juga jelas",[],0
102,OKE punyalah 👍,4,0,0,0,0,1,0,1,0,1,OKE punyalah,['👍'],1
103,Cuman kalau bisa buatin group dong…,0,0,1,0,0,0,0,0,0,2,Cuman kalau bisa buatin group dong…,[],0
104,Iya penjelasannya sangat bagus dan mudah dimengerti,4,0,0,0,0,1,0,0,1,1,Iya penjelasannya sangat bagus dan mudah dimengerti,[],0
105,bagus informatif mudah dipahami,4,0,0,0,0,1,0,0,1,1,bagus informatif mudah dipahami,[],0
106,Penjelasan mudah dipahami,4,0,0,0,0,1,0,0,1,1,Penjelasan mudah dipahami,[],0
107,Good,4,0,0,0,0,1,0,0,0,1,Good,[],0
108,sangat cocok,4,0,0,0,0,1,0,0,0,1,sangat cocok,[],0
109,nice,4,0,0,0,0,1,0,0,0,1,nice,[],0
110,oke sip,4,0,0,0,0,1,0,0,0,1,oke sip,[],0
111,well explaination and easy to understand,4,0,0,0,0,1,0,0,1,1,well explaination and easy to understand,[],0
112,"penjelasanya cukup mudah di mengerti, dan tidak terlalu cepat saat menjelaskan materi",4,0,0,0,0,1,0,0,1,1,"penjelasanya cukup mudah di mengerti, dan tidak terlalu cepat saat menjelaskan materi",[],0
113,Great,4,0,0,0,0,1,0,0,0,1,Great,[],0
114,penjelasan cukum jelas,4,0,0,0,0,1,0,0,0,1,penjelasan cukum jelas,[],0
115,Cocok karena saya masih awam tentang jaringan mikrotik,4,0,1,0,0,0,0,0,1,1,Cocok karena saya masih awam tentang jaringan mikrotik,[],0
116,penjelasan yang sangat jelas,4,0,0,0,0,1,0,0,1,1,penjelasan yang sangat jelas,[],0
117,penjelasannya simpel mudah diengerti ko,4,0,0,0,0,1,0,0,1,1,penjelasannya simpel mudah diengerti ko,[],0
118,amazing,4,0,0,0,0,1,0,1,0,1,amazing,[],0
119,Pengetahuann baru soal IP Address dan subnett,4,0,0,0,0,1,0,0,1,2,Pengetahuann baru soal IP Address dan subnett,[],0
120,MANTEP 😄,4,0,0,0,0,1,0,0,0,1,MANTEP,['😄'],1
121,Sangat mudah dimengerti dan dipahami,4,0,0,0,0,1,0,0,1,1,Sangat mudah dimengerti dan dipahami,[],0
122,very clear and interrested,4,0,0,0,0,1,0,0,1,1,very clear and interrested,[],0
123,lumayan senang,4,0,0,0,0,1,0,0,0,1,lumayan senang,[],0
124,Penjelasan sangat jelas,4,0,0,0,0,1,0,0,1,1,Penjelasan sangat jelas,[],0
125,"bagus, sesuai harapan saya",4,0,0,0,0,1,0,0,0,1,"bagus, sesuai harapan saya",[],0
126,utk sampai sekarang sangat mudah di pahami penjelasan nya,4,0,0,0,0,1,0,0,1,1,utk sampai sekarang sangat mudah di pahami penjelasan nya,[],0
127,Good 😄,4,0,0,0,0,1,0,0,0,1,Good,['😄'],1
128,"LEBIH PAHAM, DENGAN PENJELASANN NYA, TERIMAKASIH",4,0,0,0,0,1,0,0,1,1,"LEBIH PAHAM, DENGAN PENJELASANN NYA, TERIMAKASIH",[],0
129,Good 😄,4,0,0,0,0,1,0,0,0,1,Good,['😄'],1
130,mantap 😄,4,0,0,0,0,1,0,0,0,1,mantap,['😄'],1
131,simple,4,0,0,0,0,1,0,0,0,1,simple,[],0
132,"cukup bagus,cuma suara kurang jelas sedikit",1,1,0,0,0,0,1,0,0,1,"cukup bagus,cuma suara kurang jelas sedikit",[],0
133,sangat membantu,4,0,0,0,0,1,0,0,1,1,sangat membantu,[],0
134,mantap buat tambahan pengetahuan,4,0,1,0,0,1,0,0,0,1,mantap buat tambahan pengetahuan,[],0
135,ilmunya sangat bermanfaat dan detail sekali penjelasannya 😍,4,0,0,0,0,1,0,0,1,1,ilmunya sangat bermanfaat dan detail sekali penjelasannya,['😍'],1
136,Mantap sangat membantu untuk pemula,4,0,0,0,0,1,0,0,1,1,Mantap sangat membantu untuk pemula,[],0
137,"Sangat bagus untuk user yang ingin mengerti mikrotik, belajar course ini sudah memiliki pengetahuan yang lumayan baik dalam mikrotik",4,0,1,0,0,1,0,0,1,1,"Sangat bagus untuk user yang ingin mengerti mikrotik, belajar course ini sudah memiliki pengetahuan yang lumayan baik dalam mikrotik",[],0
138,Mantap,4,0,0,0,0,1,0,0,0,1,Mantap,[],0
139,Penjelasan clear dan to the point,4,0,0,0,0,1,0,0,1,2,Penjelasan clear dan to the point,[],0
140,"penyampaian mudah difahami,terimakasih",4,0,0,0,0,1,0,0,1,1,"penyampaian mudah difahami,terimakasih",[],0
141,Kursus ini sangat cocok untuk saya sebagai pemula dalam mempelajari mikrotik,4,0,1,0,0,1,0,0,1,1,Kursus ini sangat cocok untuk saya sebagai pemula dalam mempelajari mikrotik,[],0
142,Kursus ini menuntun saya tahap demi tahap sehingga saya dapat memahami materi yang telah saya pelajari,4,0,1,0,0,1,0,0,1,2,Kursus ini menuntun saya tahap demi tahap sehingga saya dapat memahami materi yang telah saya pelajari,[],0
143,bagus banget,4,0,0,0,0,1,0,0,0,1,bagus banget,[],0
144,sangat bisa dimengerti penjelasannya,4,0,0,0,0,1,0,0,1,1,sangat bisa dimengerti penjelasannya,[],0
145,penjelasan lumayan detail jadi mudah di pahami,4,0,0,0,0,1,0,0,1,1,penjelasan lumayan detail jadi mudah di pahami,[],0
146,Penjelasannya sangat bagus,4,0,0,0,0,1,0,0,1,1,Penjelasannya sangat bagus,[],0
147,sangat berguna sekali vidionya untuk pemula,4,0,1,0,0,1,0,0,1,1,sangat berguna sekali vidionya untuk pemula,[],0
148,pejelasan bagus dan mudah dimengerti,4,0,0,0,0,1,0,0,1,1,pejelasan bagus dan mudah dimengerti,[],0
149,"alhamdulillah, cara penyampaian/ menerangkan materi sangat baik, sehingga saya sebagai pemula bisa memahaminya sedikit demi sedikit",4,0,1,0,0,1,0,0,1,1,"alhamdulillah, cara penyampaian/ menerangkan materi sangat baik, sehingga saya sebagai pemula bisa memahaminya sedikit demi sedikit",[],0
150,very good,4,0,0,0,0,1,0,0,0,1,very good,[],0
151,Jelas dan mudah dipahami,4,0,0,0,0,1,0,0,1,1,Jelas dan mudah dipahami,[],0
152,thanks,4,0,0,0,0,1,0,0,0,2,thanks,[],0
153,sangat membantu dan cocok,4,0,0,0,0,1,0,0,1,1,sangat membantu dan cocok,[],0
154,"Keren, Good, penjelasan mudah dipahami",4,0,0,0,0,1,0,0,1,1,"Keren, Good, penjelasan mudah dipahami",[],0
155,Mudah dipahami,4,0,0,0,0,1,0,0,1,1,Mudah dipahami,[],0
156,mantap makin paham fungsi dari mikrotik,4,0,1,0,0,1,0,0,0,1,mantap makin paham fungsi dari mikrotik,[],0
157,Sebagai pemula saya rasa penjelasan sangat mudah dipahami,4,0,0,0,0,1,0,0,1,1,Sebagai pemula saya rasa penjelasan sangat mudah dipahami,[],0
158,mudah dimengerti,4,0,0,0,0,1,0,0,0,1,mudah dimengerti,[],0
159,Menyenangkan,4,0,0,0,0,1,0,0,0,1,Menyenangkan,[],0
160,dengan tutorial yang diberikan sangat jelas dan ringkas tak sabar untuk segera menuntaskan cousrse ini,4,0,1,0,0,1,0,0,0,1,dengan tutorial yang diberikan sangat jelas dan ringkas tak sabar untuk segera menuntaskan cousrse ini,[],0
161,"sangat jelas dan mudah di pahami, terimakasih",4,0,0,0,0,1,0,0,1,1,"sangat jelas dan mudah di pahami, terimakasih",[],0
162,materi yang dibawakan mudah dipahami bagi pemula seperti saya,4,0,0,0,0,1,0,0,1,1,materi yang dibawakan mudah dipahami bagi pemula seperti saya,[],0
163,Good explanation,4,0,0,0,0,1,0,0,1,1,Good explanation,[],0
164,Mantap,4,0,0,0,0,1,0,0,0,1,Mantap,[],0
165,penjelasannya sangat mudah dipahami,4,0,0,0,0,1,0,0,1,1,penjelasannya sangat mudah dipahami,[],0
166,penjelasan mudah di pahami,4,0,0,0,0,1,0,0,1,1,penjelasan mudah di pahami,[],0
167,Mantap,4,0,0,0,0,1,0,0,0,1,Mantap,[],0
168,Trimakasih,4,0,0,0,0,1,0,0,0,2,Trimakasih,[],0
169,"on the first time learning fundamental networking, it was good",4,0,1,0,0,1,0,0,0,1,"on the first time learning fundamental networking, it was good",[],0
170,"Penyampaian nya yang sangat jelas, padat, dan materi yang diberikan sangat terstruktur",4,0,0,0,0,1,0,0,1,1,"Penyampaian nya yang sangat jelas, padat, dan materi yang diberikan sangat terstruktur",[],0
171,"Dari dasar pengenalan IP hingga belajar ke tunnel, routing, dsb  👍",4,0,0,0,0,1,0,0,1,1,"Dari dasar pengenalan IP hingga belajar ke tunnel, routing, dsb",['👍'],1
172,"Hanya saja, instruktur tidak menjawab pertanyaan yg saya tanyakan, harapan kedepannya yang bertanya cepat di respon",3,1,0,0,0,0,1,0,0,1,"Hanya saja, instruktur tidak menjawab pertanyaan yg saya tanyakan, harapan kedepannya yang bertanya cepat di respon",[],0
173,"Materinya bagus dan penyampaiannya dapat dipahami, tinggal mengulang lagi agar lebih paham pada prakteknya",4,0,0,0,0,1,0,0,1,1,"Materinya bagus dan penyampaiannya dapat dipahami, tinggal mengulang lagi agar lebih paham pada prakteknya",[],0
174,"Terima kasih Mas Rosid, tetap semangat dalam berbagi ilmu",4,0,0,0,0,1,0,0,1,1,"Terima kasih Mas Rosid, tetap semangat dalam berbagi ilmu",[],0
