No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
37,"कोर्स उत्कृष्ट है, मुझे वही कोर्स मिला जिसकी मुझे उम्मीद थी",4,0,0,0,0,1,0,0,1,1,"कोर्स उत्कृष्ट है, मुझे वही कोर्स मिला जिसकी मुझे उम्मीद थी",[],0
38,अच्छी व्याख्या,4,0,0,0,0,1,0,0,1,1,अच्छी व्याख्या,[],0
39,"वीडियो 10mbps पर बफर कर रहा है, कृपया इसे ठीक करें",0,0,1,1,0,0,0,0,0,2,"वीडियो 10mbps पर बफर कर रहा है, कृपया इसे ठीक करें",[],0
40,वे हमें समझाने के लिए अपनी पूरी क्षमता का उपयोग करते हैं,4,0,0,0,0,0,0,0,1,1,वे हमें समझाने के लिए अपनी पूरी क्षमता का उपयोग करते हैं,[],0
41,बहुत-बहुत धन्यवाद,4,0,0,0,0,1,0,0,0,2,बहुत-बहुत धन्यवाद,[],0
42,अच्छा,4,0,0,0,0,1,0,0,0,1,अच्छा,[],0
43,बहुत अच्छा परिचय सर जी,4,0,0,0,0,1,0,0,0,1,बहुत अच्छा परिचय सर जी,[],0
44,अच्छा वीडियो,4,0,0,0,0,1,0,0,0,2,अच्छा वीडियो,[],0
45,अच्छा कोर्स,4,0,0,0,0,1,0,0,0,1,अच्छा कोर्स,[],0
46,शानदार,4,0,0,0,0,1,0,0,0,1,शानदार,[],0
47,बुनियादी ज्ञान के लिए अच्छा,4,0,0,0,0,1,0,0,0,1,बुनियादी ज्ञान के लिए अच्छा,[],0
48,ट्यूटर का सपोर्ट अच्छा नहीं है,4,1,0,1,0,0,0,0,0,0,ट्यूटर का सपोर्ट अच्छा नहीं है,[],0
49,शुभकामनाएं,4,0,1,0,0,0,0,0,1,1,शुभकामनाएं,[],0
50,अच्छा,4,0,0,0,0,1,0,0,0,1,अच्छा,[],0
51,एथिकल हैकिंग के शुरुआती लोगों के लिए अच्छा है,4,0,0,0,0,1,0,0,1,1,एथिकल हैकिंग के शुरुआती लोगों के लिए अच्छा है,[],0
52,यह शुरुआती लोगों के लिए सहायक कोर्स है,4,0,0,0,0,1,0,0,1,1,यह शुरुआती लोगों के लिए सहायक कोर्स है,[],0
53,हाँ,4,0,0,0,0,1,0,0,0,2,हाँ,[],0
54,"पिछली बार आपने कहा था कि 13 दिनों का पूरा कोर्स मिलेगा, लेकिन अधिकांश वीडियो उपलब्ध नहीं हैं",0,1,0,1,0,0,1,0,0,0,"पिछली बार आपने कहा था कि 13 दिनों का पूरा कोर्स मिलेगा, लेकिन अधिकांश वीडियो उपलब्ध नहीं हैं",[],0
55,पूरी तरह से पैसे और कीमती समय की बर्बादी,2,1,0,1,0,0,1,0,0,0,पूरी तरह से पैसे और कीमती समय की बर्बादी,[],0
56,किसी भी चीज़ को विस्तार से नहीं समझाया गया है,2,0,0,1,0,0,0,0,0,0,किसी भी चीज़ को विस्तार से नहीं समझाया गया है,[],0
57,अगर आप कहीं अटक जाएं तो इंस्ट्रक्टर से कभी जवाब नहीं मिलेगा,3,1,0,0,1,0,0,0,0,0,अगर आप कहीं अटक जाएं तो इंस्ट्रक्टर से कभी जवाब नहीं मिलेगा,[],0
58,"केवल 5 से 10 प्रतिशत सामग्री उपयोगी थी, बाकी सब सिरदर्द था",2,1,0,1,0,0,1,0,0,1,"केवल 5 से 10 प्रतिशत सामग्री उपयोगी थी, बाकी सब सिरदर्द था",[],0
59,"दृढ़ता से अनुशंसा करता हूँ कि इस कोर्स को न लें, कोई और कोर्स चुनें!!!",2,1,0,1,1,0,1,0,0,1,"दृढ़ता से अनुशंसा करता हूँ कि इस कोर्स को न लें, कोई और कोर्स चुनें!!!",[],0
60,माउस पॉइंटर बहुत भ्रमित करने वाला है,0,0,0,1,0,0,0,0,0,1,माउस पॉइंटर बहुत भ्रमित करने वाला है,[],0
61,पैसे की बर्बादी,2,1,0,1,0,0,1,0,0,0,पैसे की बर्बादी,[],0
62,सबसे खराब कोर्स,2,1,0,1,0,0,1,0,0,0,सबसे खराब कोर्स,[],0
63,"अच्छा नहीं है, घटिया",2,1,0,1,0,0,0,0,0,2,"अच्छा नहीं है, घटिया",[],0
64,आप काली और अन्य चीजों के बारे में विस्तार से नहीं बताते,1,0,0,1,0,0,0,0,0,0,आप काली और अन्य चीजों के बारे में विस्तार से नहीं बताते,[],0
65,अच्छा 👍,4,0,0,0,0,1,0,0,0,1,अच्छा,['👍'],1
66,"सर, आप बहुत तेज बोलते हैं",1,0,0,0,1,0,0,1,0,1,"सर, आप बहुत तेज बोलते हैं",[],0
67,कोर्स की सामग्री पर्याप्त नहीं है,2,0,0,1,0,0,0,0,0,0,कोर्स की सामग्री पर्याप्त नहीं है,[],0
68,मैं उन चीज़ों पर परीक्षण लिए जाने से सहमत नहीं हूँ जो सामग्री में सीधे शामिल ही नहीं थीं,2,1,0,1,0,0,0,0,0,0,मैं उन चीज़ों पर परीक्षण लिए जाने से सहमत नहीं हूँ जो सामग्री में सीधे शामिल ही नहीं थीं,[],0
69,"उदाहरण के लिए, इन रिव्यू परीक्षाओं में ऐसे संक्षिप्त शब्द (acronyms) थे जो मूल अध्ययन सामग्री में बिल्कुल नहीं मिले",2,0,0,1,0,0,1,0,0,0,"उदाहरण के लिए, इन रिव्यू परीक्षाओं में ऐसे संक्षिप्त शब्द (acronyms) थे जो मूल अध्ययन सामग्री में बिल्कुल नहीं मिले",[],0
70,"मैंने पूरे मूल सामग्री में शब्द खोज की, सभी संबंधित वीडियो देखे लेकिन कुछ नहीं मिला, फिर मुझे अलग से गूगल करना पड़ा",2,0,0,0,0,0,1,0,0,0,"मैंने पूरे मूल सामग्री में शब्द खोज की, सभी संबंधित वीडियो देखे लेकिन कुछ नहीं मिला, फिर मुझे अलग से गूगल करना पड़ा",[],0
71,"अध्ययन के लिए बाहर से जानकारी लेना गलत नहीं है, लेकिन अगर प्रोफेसर जानबूझकर टेस्ट में ऐसी चीजें डालते हैं जो कभी सामग्री में नहीं थीं, तो बेहतर है कि उन्हें शुरुआत से ही सामग्री में शामिल किया जाए",2,0,0,1,0,0,1,0,0,0,"अध्ययन के लिए बाहर से जानकारी लेना गलत नहीं है, लेकिन अगर प्रोफेसर जानबूझकर टेस्ट में ऐसी चीजें डालते हैं जो कभी सामग्री में नहीं थीं, तो बेहतर है कि उन्हें शुरुआत से ही सामग्री में शामिल किया जाए",[],0
72,यह छात्रों के लिए भ्रामक और परेशान करने वाला है जो घंटों पढ़ाई करते हैं और फिर टेस्ट में कुछ नया देखकर सवाल गलत कर बैठते हैं,2,1,0,1,0,0,1,0,0,0,यह छात्रों के लिए भ्रामक और परेशान करने वाला है जो घंटों पढ़ाई करते हैं और फिर टेस्ट में कुछ नया देखकर सवाल गलत कर बैठते हैं,[],0
73,"अगर वो चीज़ टेस्ट में है, तो उसे स्टडी मटेरियल में ज़रूर होना चाहिए",2,1,0,0,0,0,0,0,0,1,"अगर वो चीज़ टेस्ट में है, तो उसे स्टडी मटेरियल में ज़रूर होना चाहिए",[],0
74,"""मैंने हर डिओन परीक्षा में 90%+ स्कोर किया, फिर भी असली परीक्षा के लिए बिल्कुल भी तैयार महसूस नहीं हुआ",2,0,0,0,1,0,1,0,0,2,"""मैंने हर डिओन परीक्षा में 90%+ स्कोर किया, फिर भी असली परीक्षा के लिए बिल्कुल भी तैयार महसूस नहीं हुआ",[],0
75,मैंने दो महीने तक इस कोर्स से पढ़ाई की और सभी प्रैक्टिस परीक्षाएं दीं,2,0,0,0,0,0,0,0,1,1,मैंने दो महीने तक इस कोर्स से पढ़ाई की और सभी प्रैक्टिस परीक्षाएं दीं,[],0
76,"लेकिन असली N10-009 परीक्षा में प्रश्नों की शैली, परिदृश्य और फोकस क्षेत्र बिलकुल अलग थे",2,0,0,0,1,0,1,1,0,1,"लेकिन असली N10-009 परीक्षा में प्रश्नों की शैली, परिदृश्य और फोकस क्षेत्र बिलकुल अलग थे",[],0
77,"ऐसा लग रहा था जैसे असली परीक्षा मेरी सोचने और अनुकूलन करने की क्षमता को परख रही हो, जबकि यह कोर्स सिर्फ रटने की ट्रेनिंग देता है",2,1,0,1,1,0,0,0,0,0,"ऐसा लग रहा था जैसे असली परीक्षा मेरी सोचने और अनुकूलन करने की क्षमता को परख रही हो, जबकि यह कोर्स सिर्फ रटने की ट्रेनिंग देता है",[],0
78,नतीजा: इस कोर्स ने मुझे झूठा आत्मविश्वास दिया और शायद इसी वजह से मैं परीक्षा में असफल रहा,2,0,0,1,1,0,1,0,0,0,नतीजा: इस कोर्स ने मुझे झूठा आत्मविश्वास दिया और शायद इसी वजह से मैं परीक्षा में असफल रहा,[],0
79,मैं इसे N10-009 के लिए एकमात्र तैयारी के रूप में बिलकुल भी अनुशंसित नहीं करूंगा,2,1,0,1,0,0,0,0,0,0,मैं इसे N10-009 के लिए एकमात्र तैयारी के रूप में बिलकुल भी अनुशंसित नहीं करूंगा,[],0
80,इसे मौजूदा CompTIA परीक्षा के अनुरूप अपडेट करने की सख्त जरूरत है,2,0,1,1,0,0,0,0,0,1,इसे मौजूदा CompTIA परीक्षा के अनुरूप अपडेट करने की सख्त जरूरत है,[],0
81,"सौभाग्य से, ऑनलाइन परीक्षा में सामान्य तकनीकी समस्याएं भी थीं, जिससे मुझे एक मुफ्त दोबारा मौका मिलेगा",0,0,0,0,0,1,0,0,0,1,"सौभाग्य से, ऑनलाइन परीक्षा में सामान्य तकनीकी समस्याएं भी थीं, जिससे मुझे एक मुफ्त दोबारा मौका मिलेगा",[],0
82,"लेकिन अब मुझे एक असली कोर्स की ज़रूरत है!""",2,0,1,1,0,0,1,0,0,2,"लेकिन अब मुझे एक असली कोर्स की ज़रूरत है!""",[],0
83,"मैं कभी भी Dion का प्रशिक्षण सिफारिश नहीं करूंगा, भले ही मुझे यह कोर्स बहुत छूट में मिला हो",2,1,0,1,0,0,0,0,0,0,"मैं कभी भी Dion का प्रशिक्षण सिफारिश नहीं करूंगा, भले ही मुझे यह कोर्स बहुत छूट में मिला हो",[],0
84,मुझे नहीं लगता कि मुझे इसके पैसे का मूल्य मिला और मैंने इसमें अनगिनत घंटे बर्बाद किए,2,0,0,1,0,0,1,0,0,0,मुझे नहीं लगता कि मुझे इसके पैसे का मूल्य मिला और मैंने इसमें अनगिनत घंटे बर्बाद किए,[],0
85,यह प्रमाणन परीक्षा की तैयारी के लिए पर्याप्त विस्तार से नहीं समझाता,2,0,0,1,0,0,1,0,0,0,यह प्रमाणन परीक्षा की तैयारी के लिए पर्याप्त विस्तार से नहीं समझाता,[],0
86,खरीदें नहीं,2,1,0,1,0,0,0,0,0,0,खरीदें नहीं,[],0
87,पूरा कोर्स केवल स्लाइड शो से पढ़ा जा रहा है,1,0,0,1,0,0,0,0,0,2,पूरा कोर्स केवल स्लाइड शो से पढ़ा जा रहा है,[],0
88,यह बेहद उबाऊ है और सब कुछ बहुत जल्दी-जल्दी किया गया है,1,0,0,1,0,0,1,0,0,2,यह बेहद उबाऊ है और सब कुछ बहुत जल्दी-जल्दी किया गया है,[],0
89,मैं OSI वाले भाग तक ही पहुंचा और फिर किसी दूसरे कोर्स को लेने का फैसला किया क्योंकि यह असहनीय था,2,0,0,1,0,0,1,0,0,0,मैं OSI वाले भाग तक ही पहुंचा और फिर किसी दूसरे कोर्स को लेने का फैसला किया क्योंकि यह असहनीय था,[],0
90,"0 स्टार — अपना समय बचाएं और कुछ और लें, समझ नहीं आता ये टॉप सेलर क्यों है, यह इस प्लेटफॉर्म पर सबसे अधिक बढ़ा-चढ़ा कर दिखाया गया कोर्स लगता है",2,1,0,1,0,0,0,0,0,2,"0 स्टार — अपना समय बचाएं और कुछ और लें, समझ नहीं आता ये टॉप सेलर क्यों है, यह इस प्लेटफॉर्म पर सबसे अधिक बढ़ा-चढ़ा कर दिखाया गया कोर्स लगता है",[],0
91,"यह केवल लेक्चर है, कोई प्रैक्टिकल नहीं है",2,0,0,1,0,0,0,0,0,2,"यह केवल लेक्चर है, कोई प्रैक्टिकल नहीं है",[],0
92,सिफारिश नहीं करूंगा,2,0,0,1,0,0,0,0,0,2,सिफारिश नहीं करूंगा,[],0
93,यह कोर्स मूलतः एक पावर-पॉइंट प्रेजेंटेशन है जिसमें केवल परिभाषाएं पढ़ी जा रही हैं और कोई चित्र या डायग्राम नहीं है,1,0,0,1,0,0,0,0,0,0,यह कोर्स मूलतः एक पावर-पॉइंट प्रेजेंटेशन है जिसमें केवल परिभाषाएं पढ़ी जा रही हैं और कोई चित्र या डायग्राम नहीं है,[],0
94,दूसरे कोर्स बेहतर हैं,2,1,0,1,0,0,0,0,0,1,दूसरे कोर्स बेहतर हैं,[],0
95,बहुत उबाऊ,1,0,0,1,0,0,0,0,0,2,बहुत उबाऊ,[],0
96,33 घंटे का एक पावरपॉइंट प्रेजेंटेशन,1,0,0,1,0,0,1,0,0,2,33 घंटे का एक पावरपॉइंट प्रेजेंटेशन,[],0
97,अब मुझे प्रोफेसर मेसर की प्रस्तुति की सराहना हो रही है,1,0,0,0,0,1,0,0,1,1,अब मुझे प्रोफेसर मेसर की प्रस्तुति की सराहना हो रही है,[],0
98,"अत्यंत उबाऊ कक्षा, जिसे समझना मुश्किल है, बस एक महिमामंडित पावरपॉइंट",1,0,0,1,0,0,1,0,0,0,"अत्यंत उबाऊ कक्षा, जिसे समझना मुश्किल है, बस एक महिमामंडित पावरपॉइंट",[],0
99,विषयों की व्याख्या नहीं की जा रही और आवाज की गुणवत्ता भी तेज़ और कई बार अस्पष्ट है,1,0,0,1,0,0,0,0,0,0,विषयों की व्याख्या नहीं की जा रही और आवाज की गुणवत्ता भी तेज़ और कई बार अस्पष्ट है,[],0
100,मेरे सीखने के बीच में सर्वेक्षणों से बाधा डालना बंद करें,0,1,0,1,0,0,0,0,0,0,मेरे सीखने के बीच में सर्वेक्षणों से बाधा डालना बंद करें,[],0
101,"बहुत खराब — केवल लेक्चर, कोई हाथों-हाथ प्रयोग नहीं",1,1,0,1,0,0,0,0,0,0,"बहुत खराब — केवल लेक्चर, कोई हाथों-हाथ प्रयोग नहीं",[],0
102,अच्छी तरह से समझाया नहीं गया है और संसाधनों को महत्वपूर्ण नहीं माना गया है,0,0,0,1,0,0,0,0,0,0,अच्छी तरह से समझाया नहीं गया है और संसाधनों को महत्वपूर्ण नहीं माना गया है,[],0
103,"दावा किया गया कि ""पुराने और नए वर्जन के संसाधन अलग नहीं हैं"", लेकिन कम से कम नाम तो बदल सकते थे",0,0,0,1,0,0,0,0,0,0,"दावा किया गया कि ""पुराने और नए वर्जन के संसाधन अलग नहीं हैं"", लेकिन कम से कम नाम तो बदल सकते थे",[],0
104,मैंने यह कोर्स CompTIA द्वारा निर्दिष्ट पाठ्यक्रम जल्दी सीखने के लिए लिया था — लेकिन यह वैसा नहीं है!!,2,1,0,1,0,0,0,0,0,2,मैंने यह कोर्स CompTIA द्वारा निर्दिष्ट पाठ्यक्रम जल्दी सीखने के लिए लिया था — लेकिन यह वैसा नहीं है!!,[],0
105,"यह पूरा कोर्स था, लेकिन अचानक सभी सामग्री हटा दी गई और मुझे कम से कम 13 मॉड्यूल छोड़ने पड़े",2,1,0,1,0,0,0,0,0,2,"यह पूरा कोर्स था, लेकिन अचानक सभी सामग्री हटा दी गई और मुझे कम से कम 13 मॉड्यूल छोड़ने पड़े",[],0
106,यह धोखाधड़ी जैसा लगा,2,1,0,1,0,0,0,0,0,0,यह धोखाधड़ी जैसा लगा,[],0
107,मैंने पूरा कोर्स खरीदा था,2,0,0,1,0,0,0,0,0,1,मैंने पूरा कोर्स खरीदा था,[],0
108,यह आधिकारिक है — मैंने असली CompTIA अभ्यास परीक्षा दी और Dion का कोर्स + अभ्यास परीक्षाएं असली परीक्षा के लिए प्रभावी रूप से तैयारी नहीं कर सकीं,2,0,0,1,0,0,1,0,0,0,यह आधिकारिक है — मैंने असली CompTIA अभ्यास परीक्षा दी और Dion का कोर्स + अभ्यास परीक्षाएं असली परीक्षा के लिए प्रभावी रूप से तैयारी नहीं कर सकीं,[],0
109,मैं इस तरह के अनौपचारिक संसाधनों से दूर रहने की सलाह दूंगा,2,1,0,1,0,0,0,0,0,1,मैं इस तरह के अनौपचारिक संसाधनों से दूर रहने की सलाह दूंगा,[],0
110,नकारात्मक समीक्षाएं सही हैं,2,0,1,0,0,0,0,0,0,1,नकारात्मक समीक्षाएं सही हैं,[],0
111,मुझे नहीं समझ आता यह ट्यूटर इतना लोकप्रिय क्यों है,0,0,0,1,0,0,0,0,0,2,मुझे नहीं समझ आता यह ट्यूटर इतना लोकप्रिय क्यों है,[],0
112,बहुत ही खराब डिजाइन किया गया कोर्स,2,1,0,1,0,0,0,0,0,0,बहुत ही खराब डिजाइन किया गया कोर्स,[],0
113,आप टेक्स्ट-टू-स्पीच टूल का उपयोग भी कर सकते हैं,2,0,1,0,0,0,0,0,0,1,आप टेक्स्ट-टू-स्पीच टूल का उपयोग भी कर सकते हैं,[],0
114,रिफंड पॉलिसी बहुत खराब है,0,1,0,1,0,0,0,0,0,0,रिफंड पॉलिसी बहुत खराब है,[],0
115,संक्षिप्त नहीं है — अनावश्यक जानकारी है जो परीक्षा पास करने के लिए जरूरी नहीं है,1,0,0,1,0,0,1,0,0,0,संक्षिप्त नहीं है — अनावश्यक जानकारी है जो परीक्षा पास करने के लिए जरूरी नहीं है,[],0
116,समय बर्बाद करता है,2,0,0,1,0,0,1,0,0,0,समय बर्बाद करता है,[],0
117,"कोई शक नहीं कि प्रशिक्षक जानकार हैं, लेकिन व्याख्या और विशेष रूप से स्लाइड्स बहुत ही घटिया हैं",1,0,0,1,0,0,0,0,0,0,"कोई शक नहीं कि प्रशिक्षक जानकार हैं, लेकिन व्याख्या और विशेष रूप से स्लाइड्स बहुत ही घटिया हैं",[],0
118,यहां कई नकली 5* समीक्षाएं हैं ऐसा मुझे सच में लगता है,0,1,0,1,0,0,0,0,0,0,यहां कई नकली 5* समीक्षाएं हैं ऐसा मुझे सच में लगता है,[],0
119,"मैंने इस कोर्स के बारे में बहुत कुछ अच्छा सुना था इसलिए इसे लिया, लेकिन पढ़ाने की शैली बहुत ही शब्दाडंबरपूर्ण है और स्लाइड्स पर्याप्त जानकारी नहीं देतीं",1,0,0,1,0,0,0,0,0,0,"मैंने इस कोर्स के बारे में बहुत कुछ अच्छा सुना था इसलिए इसे लिया, लेकिन पढ़ाने की शैली बहुत ही शब्दाडंबरपूर्ण है और स्लाइड्स पर्याप्त जानकारी नहीं देतीं",[],0
120,ज्यादातर स्लाइड्स सिर्फ स्टॉक इमेज से भरी होती हैं,1,0,0,1,0,0,0,0,0,0,ज्यादातर स्लाइड्स सिर्फ स्टॉक इमेज से भरी होती हैं,[],0
121,मैं सोचता हूं मैंने एक महीना व्यर्थ कर दिया,2,0,0,0,0,0,1,0,0,1,मैं सोचता हूं मैंने एक महीना व्यर्थ कर दिया,[],0
122,"यह स्टाइल शायद मेरे लिए काम नहीं कर रही, लेकिन बेहतर विज़ुअल्स और सीनारियो आधारित सीख जरूरी है",2,0,0,1,0,1,0,0,0,1,"यह स्टाइल शायद मेरे लिए काम नहीं कर रही, लेकिन बेहतर विज़ुअल्स और सीनारियो आधारित सीख जरूरी है",[],0
123,मैंने बड़ी कठिनाई से सेक्शन 13 तक कोर्स फॉलो किया,2,0,1,0,0,0,0,0,0,1,मैंने बड़ी कठिनाई से सेक्शन 13 तक कोर्स फॉलो किया,[],0
124,बहुत कम विज़ुअल सामग्री है,0,0,0,1,0,0,1,0,0,0,बहुत कम विज़ुअल सामग्री है,[],0
125,प्रशिक्षक बहुत तेजी से पढ़ते हैं और स्पष्ट नहीं है,1,0,0,1,0,0,0,0,0,1,प्रशिक्षक बहुत तेजी से पढ़ते हैं और स्पष्ट नहीं है,[],0
126,इसलिए सेक्शन 13 के बाद मैंने कोर्स छोड़ दिया,2,0,0,0,0,0,1,0,0,1,इसलिए सेक्शन 13 के बाद मैंने कोर्स छोड़ दिया,[],0
127,मैंने इस व्यक्ति से दो और कोर्स लिए हैं और लगता है वे भी ऐसे ही होंगे,2,0,0,1,0,0,0,0,0,0,मैंने इस व्यक्ति से दो और कोर्स लिए हैं और लगता है वे भी ऐसे ही होंगे,[],0
128,एकदम अनिद्रा का परफेक्ट नुस्खा,1,0,0,1,0,0,0,0,0,2,एकदम अनिद्रा का परफेक्ट नुस्खा,[],0
